Série,Composé,SMILES,pEC50,Emax
HGA-22,HGA-2206,C5(CN3C=C(C(O)=O)C(=O)C4=CC(F)=C(N2CCN(CC(C1=CC=C(F)C=C1)=O)CC2)N=C34)CC5,7.8,43
HGA-22,HGA-2229,CCN3C=C(C(O)=O)C(=O)C4=CC(F)=C(N2CCN(CC(C1=C(Cl)C=C(F)C=C1)=O)CC2)N=C34,8.4,49
HGA-22,HGA-2236,CCN3C=C(C(O)=O)C(=O)C4=CC(F)=C(N2CCN(CC(C1=C(Br)C=C(F)C=C1)=O)CC2)N=C34,9.2,41
HGA-22,HGA-2208,CCN2C=C(C(O)=O)C(=O)C3=CC(F)=C(N1CCN(CC(CC(C)(C)C)=O)CC1)N=C23,6.3,25
HGA-22,HGA-2230,CCN1C=C(C(=O)O)C(=O)C4=C1C=C(N3CCN(S(=O)(=O)C2=CC=C(Br)C=C2F)CC3)C(F)=C4,9.3,53
HGA-22,HGA-2267,CCN1C=C(C(=O)O)C(=O)C4=C1N=C(N3CCN(S(=O)(=O)C2=CC=C(Cl)C=C2)CC3)C(F)=C4,8.7,61
HGA-22,HGA-2200,C5(CN1C=C(C(=O)O)C(=O)C4=C1N=C(N3CCN(S(=O)(=O)C2=CC=C(Cl)C=C2)CC3)C(F)=C4)CC5,7.3,46
HGA-22,HGA-2294,CCN1C=C(C(=O)O)C(=O)C4=C1N=C(N3CCN(S(=O)(=O)C2=CC=C(Br)C=C2)CC3)C(F)=C4,8.8,34
HGA-22,HGA-2257,CCN3C=C(C(O)=O)C(=O)C4=CC(F)=C(N2CCN(CC(C1=CC=C(F)C=C1)=O)CC2)N=C34,7.2,50
HGA-43,HGA-4340,OC(C1CC(C)(C)CN1C(C3CCN(S(C2=CC(C(F)(F)F)=CC=C2)(=O)=O)CC3)=O)=O,7.2,62
HGA-43,HGA-4320,OC(C1=NSCN1C(C3CCC(S(C2=CC(C(F)(F)F)=CC=C2)(=O)=O)CC3)=O)=O,8.0,39
HGA-43,HGA-4304,OC(C1CC(C)(C)CN1C(C3C(C)CN(S(C2=CC(C(F)(F)F)=CC=C2)(=O)=O)CC3)=O)=O,8.3,55
HGA-43,HGA-4393,OC(C1CC(C)(C)CN1C(C3CCN(C(C2=CC(C(F)(F)F)=CC=C2)=O)CC3)=O)=O,5.7,52
HGA-43,HGA-4314,OC(C1CC(C)(C)CN1C(C3CCN(S(C2=CC(Cl)=CC=C2)(=O)=O)CC3)=O)=O,6.7,59
HGA-43,HGA-4335,OC(C1CC(C)(C)CN1C(C3CCN(S(C2=CC(C)=CC=C2F)(=O)=O)CC3)=O)=O,6.9,44
HGA-43,HGA-4303,OC(C1CC(F)(F)CN1C(C3CCN(S(C2=CC(C(F)(F)F)=CC=C2)(=O)=O)CC3)=O)=O,8.4,57
HGA-43,HGA-4311,OC(C1CC(C)(C)CN1C(C3CCN(S(C2=CC(C(F)F)=CC=C2)(=O)=O)CC3)=O)=O,7.9,35
HGA-43,HGA-4302,OC(C1CC(C)(C)CN1C(C3CCN(S(C2=CC(OC)=CC=C2)(=O)=O)CC3)=O)=O,7.1,56
HGA-43,HGA-4351,OC(C1CC(C)(C)CN1C(C3CCN(S(C2=CC(OC(F)(F)F)=CC=C2)(=O)=O)CC3)=O)=O,9.1,78
HGA-43,HGA-4395,OC(C1CCCN1C(C3CCN(S(C2=CC(OC(F)(F)F)=CC=C2)(=O)=O)CC3)=O)=O,8.4,67
HGA-43,HGA-4367,OC(C1CCCN1C(C3CCN(S(C2=CC(OC(F)(F)F)=CN=C2)(=O)=O)CC3)=O)=O,7.7,28
